X,Wynik_przyblizony,Blad_wzgledny
1.9498446e-22,1,0
1.995262315e-22,1,0
2.041737945e-22,1,0
2.089296131e-22,1,0
2.13796209e-22,1,0
2.187761624e-22,1,0
2.238721139e-22,1,0
2.290867653e-22,1,0
2.344228815e-22,1,0
2.398832919e-22,1,0
2.454708916e-22,1,0
2.511886432e-22,1,0
2.570395783e-22,1,0
2.630267992e-22,1,0
2.691534804e-22,1,0
2.754228703e-22,1,0
2.818382931e-22,1,0
2.884031503e-22,1,0
2.951209227e-22,1,0
3.01995172e-22,1,0
3.090295433e-22,1,0
3.16227766e-22,1,0
3.235936569e-22,1,0
3.311311215e-22,1,0
3.388441561e-22,1,0
3.467368505e-22,1,0
3.548133892e-22,1,0
3.630780548e-22,1,0
3.715352291e-22,1,0
3.801893963e-22,1,0
3.89045145e-22,1,0
3.981071706e-22,1,0
4.073802778e-22,1,0
4.168693835e-22,1,0
4.265795188e-22,1,0
4.365158322e-22,1,0
4.466835922e-22,1,0
4.570881896e-22,1,0
4.677351413e-22,1,0
4.786300923e-22,1,0
4.897788194e-22,1,0
5.011872336e-22,1,0
5.12861384e-22,1,0
5.248074602e-22,1,0
5.370317964e-22,1,0
5.495408739e-22,1,0
5.623413252e-22,1,0
5.754399373e-22,1,0
5.888436554e-22,1,0
6.025595861e-22,1,0
6.165950019e-22,1,0
6.309573445e-22,1,0
6.45654229e-22,1,0
6.60693448e-22,1,0
6.760829754e-22,1,0
6.918309709e-22,1,0
7.079457844e-22,1,0
7.244359601e-22,1,0
7.413102413e-22,1,0
7.58577575e-22,1,0
7.762471166e-22,1,0
7.943282347e-22,1,0
8.128305162e-22,1,0
8.317637711e-22,1,0
8.511380382e-22,1,0
8.7096359e-22,1,0
8.912509381e-22,1,0
9.120108394e-22,1,0
9.332543008e-22,1,0
9.54992586e-22,1,0
9.77237221e-22,1,0
1e-21,1,0
1.023292992e-21,1,0
1.047128548e-21,1,0
1.071519305e-21,1,0
1.096478196e-21,1,0
1.122018454e-21,1,0
1.148153621e-21,1,0
1.174897555e-21,1,0
1.202264435e-21,1,0
1.230268771e-21,1,0
1.258925412e-21,1,0
1.288249552e-21,1,0
1.318256739e-21,1,0
